,광고그룹,키워드,노출수,클릭수,"총비용(VAT포함,원)"
259,AOP 전체_중복키워드_마케팅,카드뉴스제작,1270,12.0,30822
260,ㅍAOP 전체_중복키워드_디자인(삭제),에프터이펙트,33511,8.4,29997
261, 1인 쇼핑몰 시작하기_06.해외쇼핑몰,해외쇼핑몰,4312,21.599999999999998,29744
262,LaTeX를 활용한 효율적 논문작성 Workshop,논문,134219,38.4,29546
263,1. 일반_PC,게임UI,7124,6.0,29282
264,인디자인 유치원,나만의책만들기,1398,45.6,29282
265,AOP 전체_중복키워드_마케팅,로그분석,9793,7.199999999999999,29172
266,AOP 전체_중복키워드_디자인,인디자인강좌,1633,10.799999999999999,29073
267, 업무자동화_3. 엑셀,엑셀함수,237356,33.6,29051
268,마케팅 전체,광고,742643,111.6,28743
269,001.데이터분석/ 통계,데이터사이언스,1673,22.8,28677
270, 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰사이트제작,58612,10.799999999999999,28556
271,ㅍAOP 전체_중복키워드_비지니스(삭제),엑셀,387261,68.39999999999999,28468
272, 그로스해킹_5.마케팅 분석,영업관리,59724,8.4,28380
273,딥러닝으로 배우는 병렬처리 CAMP,TENSORFLOW,4110,9.6,28237
274,프로그래밍 유치원,삼성아카데미,10032,14.399999999999999,28138
275,#000_마케팅 전체_main,페이스북좋아요늘리기,5583,39.6,27852
276,ㅍAOP 전체_중복키워드_디자인(삭제),스케치,100107,34.8,27610
277, 디자인 툴_파워컨텐츠_포토샵,일러스트레이터강좌,1864,147.6,27379
278,ㅍAOP 전체_중복키워드_비지니스(삭제),엑셀배우기,9721,15.6,27291
279, 콘텐츠 마케팅_대표키워드,온라인마케팅회사,2389,19.2,26741
280,고객의 마음을 읽는 구글애널리틱스,애널리틱스,24043,18.0,26312
281, 투자_파워콘텐츠,재태크,3446,126.0,26290
282, 영상 제작/편집_3.촬영 기법/장비1,영상장비,10299,16.8,26224
283,AOP 전체_중복키워드_디자인,프리미어강좌,1197,10.799999999999999,25971
284,상업용 부동산 실무 입문 4기,서울건물매매,5026,13.2,25586
285,1. 일반_PC,UNITY,82310,7.199999999999999,25575
286, 업무자동화_VBA,모스자격증,16863,198.0,25564
287, UX/UI 디자인 입문_연관검색어,UIUX,5569,13.2,25102
288, FAST MBA_파워컨텐츠_아마존,-,19055,78.0,25080
289,마케팅 유치원,마케팅강의,2865,28.799999999999997,25025
290, 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰통합관리,1288,6.0,24563
291, 투자_파워콘텐츠,펀드하는법,3026,248.39999999999998,24552
292,7. 운영체제,운영체제,155516,27.599999999999998,24486
293,실전 웹/앱 프로젝트 기획,상세페이지제작,1942,30.0,24376
294, 콘텐츠 마케팅_대표키워드,카드뉴스템플릿,15796,45.6,24112
295,AOP 전체_중복키워드_마케팅,카드뉴스만들기,12239,22.8,23969
296,ㅍ UX/UI 디자인 입문_연관검색어(삭제),UI,91405,21.599999999999998,23892
297,ㅍAOP 전체_중복키워드_마케팅(삭제),마케팅전략,8965,7.199999999999999,23628
298,2_투자유치를 위한 사업계획서 작성(투자유치),사업계획서,61370,14.399999999999999,23408
299, 영상 제작/편집_10.패캠강의,동영상강의,13993,12.0,23309
300, 1인 쇼핑몰_00.창업_MO,남자쇼핑몰,12463,33.6,23221
301, 금융공학/퀀트_01.파이썬기본&자동화,데이터분석,1300,4.8,23100
302, 콘텐츠 마케팅_영상바이럴,SNS영상,3479,13.2,22594
303,왕초보의 파이썬 웹 프로그래밍 CAMP,파이썬자격증,1121,6.0,22473
304,ㅍAOP 전체_중복키워드_마케팅(삭제),구글애널리틱스,9681,16.8,22352
305, 데이터 분석 입문 온라인_파콘,빅데이터전문가,5440,39.6,21868
306, 1인 쇼핑몰 시작하기_01.플랫폼,오픈마켓창업,1180,9.6,21516
307,#000_마케팅 전체_main,SNS마케팅,222896,25.2,21417
308,AOP 전체_중복키워드_비지니스,엑셀강좌,9511,9.6,21263
309,다빈치리졸브와 컬러그레이딩,다빈치리졸브,19139,50.4,21076
310, 업무자동화_3. 엑셀,엑셀프로그램,52098,22.8,20999
